,Downloaded,pos_x,pos_y,pos_z,cm_x,cm_y,cm_z,mass,sfr,halfmassrad,m_stars,Z_gas,m_gas
363879,0,9548.65,93.8033,21662.9,9549.07,94.6434,21663.1,36.2919,4.67918,48.5544,1.69396,0.0354285,3.31309
364066,0,20248.5,6148.39,28444.0,20271.3,6155.16,28481.0,15.8496,1.09748,70.8994,0.115047,0.00856327,2.78404
364067,0,20484.8,6268.38,28391.7,20484.5,6268.67,28391.4,12.1909,2.69037,36.8251,0.476138,0.0241869,1.06456
364312,0,16034.8,26516.1,24709.3,16042.5,26542.7,24709.3,16.8788,3.66348,52.2526,0.323758,0.0180801,1.89976
364598,0,25778.4,13703.0,1922.52,25785.8,13712.7,1926.6,33.8823,6.6912,59.4098,1.06993,0.0139283,3.66143
364772,0,34507.5,31385.3,17919.7,34516.3,31375.0,17900.7,21.3638,2.97972,59.6483,0.29403,0.011176,3.07756
365097,0,13240.7,16031.8,7280.41,13240.9,16023.5,7281.86,33.4264,5.69814,61.4222,1.04813,0.0212697,3.34808
365354,0,23652.3,3497.06,19371.8,23648.5,3493.25,19376.5,36.8116,7.63373,55.2225,1.22306,0.0213098,3.5006
365551,0,34010.9,6103.26,31220.4,34016.4,6101.08,31229.7,37.3208,3.86224,64.8085,1.19449,0.0243551,3.56101
365754,0,12648.3,3840.93,2772.21,12647.0,3836.87,2779.19,35.605,4.84609,55.5836,1.37784,0.0272043,3.27044
365978,0,3405.82,11479.4,12349.7,3395.58,11478.1,12351.8,34.5972,6.85644,61.4328,1.25275,0.0257507,3.48193
366271,0,13443.5,2646.66,10764.4,13451.1,2651.69,10756.9,32.3573,4.74015,51.8423,1.17141,0.0249749,3.3798
366453,0,27049.9,6719.98,4573.86,27040.1,6729.05,4572.46,27.5875,4.32013,56.1065,1.28273,0.0282918,2.46881
366628,0,21432.5,4950.81,352.411,21427.8,4939.46,360.942,20.1568,3.24779,51.8129,0.325075,0.0136201,2.67143
366629,0,21540.1,4962.01,601.532,21534.2,4960.56,595.829,10.213,1.12283,34.0328,0.121313,0.00609531,1.54861
366965,0,19625.7,1595.76,24875.1,19628.9,1596.0,24877.0,34.5708,8.89771,52.6147,1.47954,0.0220257,3.32863
367170,0,27821.6,5648.97,3853.95,27819.0,5645.34,3852.86,34.4929,7.71304,51.7569,1.2301,0.0185729,3.85746
367335,0,28958.5,20367.9,4868.39,28952.9,20367.9,4867.66,33.5608,6.64673,50.3487,1.8084,0.0233348,2.77827
367492,0,10980.3,21587.9,20683.7,10969.5,21575.4,20685.9,23.7915,4.12689,54.0033,0.40166,0.0116804,3.55481
367816,0,19520.7,30781.3,23941.6,19523.3,30782.1,23938.3,34.4119,6.04585,50.7885,1.30651,0.0271078,3.49112
367942,0,21184.0,24201.8,22181.2,21154.3,24172.0,22174.1,27.586,1.28281,86.9577,0.221403,0.0147018,3.70119
368341,0,31210.3,29459.0,22969.0,31211.2,29457.9,22963.7,31.8134,6.79125,49.7317,1.35985,0.0256707,3.38732
368496,0,7915.31,21950.5,29622.4,7914.56,21961.3,29631.4,31.536,4.4679,52.3144,1.23054,0.0291811,2.7366
368705,0,31086.5,33163.5,14810.4,31086.6,33161.3,14804.8,34.4071,3.48877,57.0211,1.33928,0.0260894,2.97395
368947,0,22011.9,9760.86,5290.82,22021.6,9751.82,5289.87,32.9893,4.30892,61.5124,0.274512,0.00906751,4.43951
369219,0,23097.2,6900.15,17180.5,23096.4,6902.66,17181.6,33.8987,6.2345,51.0348,1.48254,0.0302077,3.02477
369386,0,3279.26,33129.3,17339.2,3271.07,33126.6,17333.1,31.6927,5.55895,64.5972,0.497884,0.0185934,3.16133
369632,0,19385.0,22212.2,24795.3,19377.7,22208.7,24784.4,34.7718,2.128,71.8138,1.02839,0.0322938,3.14988
369921,0,26791.0,6295.01,484.922,26788.0,6293.87,482.665,20.8137,3.19174,46.2042,0.339479,0.0105749,2.74494
370236,0,27648.4,12560.9,3524.48,27628.6,12578.6,3530.5,24.1188,5.05444,48.1628,1.01935,0.031664,2.11679
370478,0,1591.96,18686.1,5418.43,1594.82,18687.9,5419.04,33.0008,5.3408,60.137,1.08628,0.0230029,3.71916
